timestamp,feature_1,feature_2,feature_3,target,prediction,probability
2024-01-01 00:00:00,97.8386,21.6742,14.7823,0,0,0.282
2024-01-01 01:00:00,97.4123,60.6371,11.7339,0,1,0.5503
2024-01-01 02:00:00,98.342,56.7735,6.0716,1,1,0.5432
2024-01-01 03:00:00,110.5499,66.8672,7.2531,1,1,0.7642
2024-01-01 04:00:00,98.1097,54.3254,0.18,1,1,0.517
2024-01-01 05:00:00,77.5622,26.1917,19.8314,0,0,0.2488
2024-01-01 06:00:00,105.0228,64.8465,14.9694,0,1,0.6708
2024-01-01 07:00:00,96.0301,73.7728,4.5584,1,1,0.7438
2024-01-01 08:00:00,96.7919,98.1332,4.7393,1,1,0.9771
2024-01-01 09:00:00,101.7933,10.1423,0.4201,0,0,0.0132
2024-01-01 10:00:00,103.5468,12.1588,4.0084,0,0,0.1691
2024-01-01 11:00:00,117.5322,66.2915,14.6498,1,1,0.7435
2024-01-01 12:00:00,109.9294,20.6133,1.577,1,0,0.2122
2024-01-01 13:00:00,101.737,86.3263,0.2132,1,1,0.9584
2024-01-01 14:00:00,88.9988,81.9608,0.1812,1,1,0.8892
2024-01-01 15:00:00,84.8548,99.9088,3.5424,1,1,0.8297
2024-01-01 16:00:00,103.7951,47.2637,5.2539,1,0,0.4754
2024-01-01 17:00:00,119.7905,40.0413,2.8239,0,0,0.4118
2024-01-01 18:00:00,100.7336,60.4374,1.8079,0,1,0.7351
2024-01-01 19:00:00,98.5171,67.3753,9.4801,0,1,0.9189
2024-01-01 20:00:00,108.1073,11.0168,17.7832,0,0,0.1527
2024-01-01 21:00:00,78.2923,28.1068,0.1084,0,0,0.288
2024-01-01 22:00:00,95.441,35.3464,0.2847,0,0,0.3384
2024-01-01 23:00:00,107.5047,81.1176,7.4276,1,1,0.6361
2024-01-02 00:00:00,113.266,37.6995,8.3397,0,0,0.4209
2024-01-02 01:00:00,96.5345,55.6021,3.8198,0,1,0.4424
2024-01-02 02:00:00,105.8148,39.1531,9.8411,0,0,0.2313
2024-01-02 03:00:00,103.8919,10.5518,5.7276,0,0,0.1306
2024-01-02 04:00:00,111.9248,71.7252,6.6956,1,1,0.7942
2024-01-02 05:00:00,83.4434,40.7225,4.0203,1,0,0.3768
2024-01-02 06:00:00,108.7208,75.1957,0.2677,1,1,0.8681
2024-01-02 07:00:00,77.4212,65.4394,7.2554,1,1,0.8333
2024-01-02 08:00:00,60.809,12.6206,5.9444,0,0,0.2473
2024-01-02 09:00:00,91.0746,25.8066,2.8081,0,0,0.403
2024-01-02 10:00:00,86.4357,39.7463,2.7829,1,0,0.3173
2024-01-02 11:00:00,113.3808,40.4143,0.7412,0,0,0.4419
2024-01-02 12:00:00,110.2039,70.5226,2.8808,0,1,0.7891
2024-01-02 13:00:00,81.8908,92.4547,11.3723,1,1,0.8062
2024-01-02 14:00:00,112.9706,81.7529,20.2377,1,1,0.8061
2024-01-02 15:00:00,85.1619,68.1087,2.292,0,1,0.7036
2024-01-02 16:00:00,98.9429,53.3346,1.0762,1,1,0.5626
2024-01-02 17:00:00,95.8255,66.448,2.8682,0,1,0.7365
2024-01-02 18:00:00,101.9731,90.2852,0.2983,0,1,0.7652
2024-01-02 19:00:00,112.5727,58.3271,1.32,0,1,0.6624
2024-01-02 20:00:00,109.8683,40.1599,4.4412,0,0,0.4316
2024-01-02 21:00:00,105.534,80.559,1.2882,1,1,1.0117
